ID,ant,alpha,beta,rho,elite,limit,distance
8,50,7,8,0.8,0.6,100,3371
9,50,7,8,0.8,0.6,100,3371
10,50,7,8,0.8,0.6,100,3371
11,50,7,8,0.8,0.6,100,3371
12,50,7,8,0.8,0.6,100,3336
13,50,7,8,0.8,0.6,100,3369
14,50,7,8,0.8,0.6,100,3346
15,50,7,8,0.8,0.6,100,3371
16,50,7,8,0.8,0.6,100,3371
17,50,7,8,0.8,0.6,100,3371
18,50,7,8,0.8,0.6,100,3371
19,50,7,8,0.8,0.6,100,3371
20,50,7,8,0.8,0.6,100,3371
21,50,7,8,0.8,0.6,100,3371
22,50,7,8,0.8,0.6,100,3371
23,50,7,8,0.8,0.6,100,3371
24,50,7,8,0.8,0.6,100,3371
25,50,7,8,0.8,0.6,100,3371
26,50,7,8,0.8,0.6,100,3371
27,50,7,8,0.8,0.6,100,3371
28,50,7,8,0.8,0.6,100,3371
29,50,7,8,0.8,0.6,100,3371
,50,7,8,0.8,0.6,100,3368
0,50,7,9,0.8,0.6,100,3371
1,50,7,9,0.8,0.6,100,3346
2,50,7,9,0.8,0.6,100,3371
3,50,7,9,0.8,0.6,100,3371
4,50,7,9,0.8,0.6,100,3371
5,50,7,9,0.8,0.6,100,3371
6,50,7,9,0.8,0.6,100,3371
7,50,7,9,0.8,0.6,100,3371
8,50,7,9,0.8,0.6,100,3371
9,50,7,9,0.8,0.6,100,3346
10,50,7,9,0.8,0.6,100,3371
11,50,7,9,0.8,0.6,100,3371
12,50,7,9,0.8,0.6,100,3371
13,50,7,9,0.8,0.6,100,3371
14,50,7,9,0.8,0.6,100,3371
15,50,7,9,0.8,0.6,100,3371
16,50,7,9,0.8,0.6,100,3371
17,50,7,9,0.8,0.6,100,3371
18,50,7,9,0.8,0.6,100,3371
19,50,7,9,0.8,0.6,100,3371
20,50,7,9,0.8,0.6,100,3371
21,50,7,9,0.8,0.6,100,3371
22,50,7,9,0.8,0.6,100,3371
23,50,7,9,0.8,0.6,100,3371
24,50,7,9,0.8,0.6,100,3371
25,50,7,9,0.8,0.6,100,3371
26,50,7,9,0.8,0.6,100,3371
27,50,7,9,0.8,0.6,100,3359
28,50,7,9,0.8,0.6,100,3371
29,50,7,9,0.8,0.6,100,3371
,50,7,9,0.8,0.6,100,3368
0,100,0,7,0.8,0.6,100,3369
1,100,0,7,0.8,0.6,100,3359
2,100,0,7,0.8,0.6,100,3346
3,100,0,7,0.8,0.6,100,3369
4,100,0,7,0.8,0.6,100,3359
5,100,0,7,0.8,0.6,100,3346
6,100,0,7,0.8,0.6,100,3371
7,100,0,7,0.8,0.6,100,3346
8,100,0,7,0.8,0.6,100,3369
9,100,0,7,0.8,0.6,100,3336
10,100,0,7,0.8,0.6,100,3359
11,100,0,7,0.8,0.6,100,3336
12,100,0,7,0.8,0.6,100,3359
13,100,0,7,0.8,0.6,100,3369
14,100,0,7,0.8,0.6,100,3371
15,100,0,7,0.8,0.6,100,3346
16,100,0,7,0.8,0.6,100,3359
17,100,0,7,0.8,0.6,100,3369
18,100,0,7,0.8,0.6,100,3371
19,100,0,7,0.8,0.6,100,3346
20,100,0,7,0.8,0.6,100,3336
21,100,0,7,0.8,0.6,100,3336
22,100,0,7,0.8,0.6,100,3336
23,100,0,7,0.8,0.6,100,3359
24,100,0,7,0.8,0.6,100,3371
25,100,0,7,0.8,0.6,100,3336
26,100,0,7,0.8,0.6,100,3371
27,100,0,7,0.8,0.6,100,3336
28,100,0,7,0.8,0.6,100,3371
29,100,0,7,0.8,0.6,100,3346
,100,0,7,0.8,0.6,100,3355
0,100,0,8,0.8,0.6,100,3371
1,100,0,8,0.8,0.6,100,3371
2,100,0,8,0.8,0.6,100,3371
3,100,0,8,0.8,0.6,100,3371
4,100,0,8,0.8,0.6,100,3336
5,100,0,8,0.8,0.6,100,3371
6,100,0,8,0.8,0.6,100,3371
7,100,0,8,0.8,0.6,100,3371
8,100,0,8,0.8,0.6,100,3371
9,100,0,8,0.8,0.6,100,3371
10,100,0,8,0.8,0.6,100,3371
11,100,0,8,0.8,0.6,100,3359
12,100,0,8,0.8,0.6,100,3371
13,100,0,8,0.8,0.6,100,3346
14,100,0,8,0.8,0.6,100,3371
15,100,0,8,0.8,0.6,100,3371
16,100,0,8,0.8,0.6,100,3371
17,100,0,8,0.8,0.6,100,3371
18,100,0,8,0.8,0.6,100,3371
19,100,0,8,0.8,0.6,100,3336
20,100,0,8,0.8,0.6,100,3371
21,100,0,8,0.8,0.6,100,3371
22,100,0,8,0.8,0.6,100,3371
23,100,0,8,0.8,0.6,100,3369
24,100,0,8,0.8,0.6,100,3346
25,100,0,8,0.8,0.6,100,3371
26,100,0,8,0.8,0.6,100,3369
27,100,0,8,0.8,0.6,100,3371
28,100,0,8,0.8,0.6,100,3371
29,100,0,8,0.8,0.6,100,3371
,100,0,8,0.8,0.6,100,3366
0,100,0,9,0.8,0.6,100,3371
1,100,0,9,0.8,0.6,100,3371
2,100,0,9,0.8,0.6,100,3346
3,100,0,9,0.8,0.6,100,3371
4,100,0,9,0.8,0.6,100,3371
5,100,0,9,0.8,0.6,100,3369
6,100,0,9,0.8,0.6,100,3371
7,100,0,9,0.8,0.6,100,3371
8,100,0,9,0.8,0.6,100,3371
9,100,0,9,0.8,0.6,100,3371
10,100,0,9,0.8,0.6,100,3371
11,100,0,9,0.8,0.6,100,3371
12,100,0,9,0.8,0.6,100,3371
13,100,0,9,0.8,0.6,100,3371
14,100,0,9,0.8,0.6,100,3371
15,100,0,9,0.8,0.6,100,3371
16,100,0,9,0.8,0.6,100,3371
17,100,0,9,0.8,0.6,100,3371
18,100,0,9,0.8,0.6,100,3371
19,100,0,9,0.8,0.6,100,3346
20,100,0,9,0.8,0.6,100,3371
21,100,0,9,0.8,0.6,100,3371
22,100,0,9,0.8,0.6,100,3371
23,100,0,9,0.8,0.6,100,3371
24,100,0,9,0.8,0.6,100,3336
25,100,0,9,0.8,0.6,100,3371
26,100,0,9,0.8,0.6,100,3346
27,100,0,9,0.8,0.6,100,3371
28,100,0,9,0.8,0.6,100,3371
29,100,0,9,0.8,0.6,100,3371
,100,0,9,0.8,0.6,100,3367
0,100,7,7,0.8,0.6,100,3369
1,100,7,7,0.8,0.6,100,3371
2,100,7,7,0.8,0.6,100,3346
3,100,7,7,0.8,0.6,100,3336
4,100,7,7,0.8,0.6,100,3369
5,100,7,7,0.8,0.6,100,3371
